Date,Ticker,Open,High,Low,Close,Volume
2023-01-03,AAPL,128.46818597294893,129.07955877586164,122.44315755676651,123.33064270019531,112117500
2023-01-04,AAPL,125.1253349737568,126.87072372434358,123.34050912530462,124.60270690917969,89113600
2023-01-05,AAPL,125.36199835089351,125.99309725880703,123.02496279365805,123.28134155273438,80962700
2023-01-06,AAPL,124.25759364277924,128.47806338393755,123.15316666234692,127.8173828125,87754700
2023-01-09,AAPL,128.6555533163335,131.55466910779157,128.08361757784448,128.33999633789062,70790800
2023-01-10,AAPL,128.44847658636624,129.4345696464241,126.33823803970584,128.9119415283203,63896200
2023-01-11,AAPL,129.42470644063985,131.65327120715185,128.64569958998982,131.63356018066406,69458900
2023-01-12,AAPL,132.01813716022232,132.39284227281698,129.6120678053339,131.55467224121094,71379600
2023-01-13,AAPL,130.19386494625152,133.0436732754904,129.82901533053348,132.88589477539062,57809700
2023-01-17,AAPL,132.95489015736672,135.38066994863155,132.26462822678656,134.04945373535156,63646600
2023-01-18,AAPL,134.91724588612811,136.68234566241608,133.15213106325567,133.3296356201172,69672800
2023-01-19,AAPL,132.21534095915428,134.35516079708475,131.90965456039046,133.3887939453125,58280400
2023-01-20,AAPL,133.3986594670003,136.10055969629155,132.3534032973474,135.95263671875,80223600
2023-01-23,AAPL,136.19915953850284,141.32685514540398,135.9822178760608,139.1475830078125,81760300
2023-01-24,AAPL,138.35872362656914,141.16909504465488,138.3488681121143,140.5478515625,66435100
2023-01-25,AAPL,138.93064978868992,140.44922647148869,136.87957443059517,139.8871612548828,65799300
2023-01-26,AAPL,141.178940100887,142.2439224000094,139.92659771489312,141.9579620361328,54105100
2023-01-27,AAPL,141.16906148730033,145.18245171809102,141.09017225065355,143.90052795410156,70555800
2023-01-30,AAPL,142.9440557695909,143.52584706043817,140.863398823187,141.0113067626953,64015300
2023-01-31,AAPL,140.71545632636276,142.3326481092963,140.301299106578,142.28334045410156,65874500
2023-02-01,AAPL,141.96779872652098,144.57108343034756,139.35465851027638,143.40748596191406,77663600
2023-02-02,AAPL,146.82922262442523,149.07751316889315,146.10937904089744,148.7225341796875,118339000
2023-02-03,AAPL,145.97132678498124,155.1913011660709,145.77411121969988,152.35134887695312,154357300
2023-02-06,AAPL,150.4482178700856,150.97084596204795,148.68310295478358,149.61988830566406,69858300
2023-02-07,AAPL,148.54502543131906,153.071187974496,148.54502543131906,152.49925231933594,83322600
2023-02-08,AAPL,151.7399690202295,152.4302309897519,149.06765083879986,149.80722045898438,64120100
2023-02-09,AAPL,151.64138491373802,152.1837390894266,148.32811173185976,148.7718505859375,56007100
2023-02-10,AAPL,147.60647199630503,149.46314684794623,147.36944294161282,149.13723754882812,57450700
2023-02-13,AAPL,149.0780171748983,152.34696638235076,149.04839042017383,151.9420623779297,62199000
2023-02-14,AAPL,150.23348636384839,151.8630330104811,148.98911761787627,151.3000946044922,61707600
2023-02-15,AAPL,151.21120146838675,153.5715611952289,150.98405804107867,153.40367126464844,65573800
2023-02-16,AAPL,151.60627069499915,154.39130625656546,151.44826635619526,151.80380249023438,68167900
